book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,my_rating,no_of_pages,image_name
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,J.K. Rowling,4.47,11382658,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155._SX50_.jpg,5.0,333.0,cover_1.png
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,4.35,9881355,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SX50_.jpg,4.0,374.0,cover_2.png
To Kill a Mockingbird,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,Harper Lee,4.26,6867707,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,5.0,323.0,cover_3.png
"The Hobbit, or There and Back Again",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,J.R.R. Tolkien,4.30,4445824,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907._SY75_.jpg,5.0,366.0,cover_4.png
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,4.58,4826231,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5._SY75_.jpg,4.0,547.0,cover_5.png
1984,https://www.goodreads.com/book/show/61439040-1984,George Orwell,4.20,5440548,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657781256i/61439040._SX50_.jpg,5.0,368.0,cover_6.png
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,J.K. Rowling,4.57,4182683,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6._SX50_.jpg,5.0,734.0,cover_7.png
Pride and Prejudice,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Jane Austen,4.29,4787494,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4.0,279.0,cover_8.png
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,4.62,4100988,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251._SY75_.jpg,5.0,759.0,cover_9.png
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,J.K. Rowling,4.43,4479349,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881._SY75_.jpg,4.0,352.0,cover_10.png
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm,George Orwell,4.02,4534161,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,5.0,141.0,cover_11.png
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,4.50,3785708,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2._SY75_.jpg,4.0,870.0,cover_12.png
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,4.58,3648783,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1._SX50_.jpg,4.0,652.0,cover_13.png
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,4.41,3141694,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351._SY75_.jpg,5.0,432.0,cover_14.png
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,4.36,4141860,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg,4.0,391.0,cover_15.png
The Great Gatsby,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,F. Scott Fitzgerald,3.93,5900084,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671._SY75_.jpg,4.0,180.0,cover_16.png
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,4.24,3147216,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg,3.0,206.0,cover_17.png
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,Anne Frank,4.20,4182076,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855._SY75_.jpg,0.0,283.0,cover_18.png
"Mockingjay (The Hunger Games, #3)",https://www.goodreads.com/book/show/7260188-mockingjay,Suzanne Collins,4.12,3708225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188._SY75_.jpg,4.0,390.0,cover_19.png
The Kite Runner,https://www.goodreads.com/book/show/77203.The_Kite_Runner,Khaled Hosseini,4.36,3484926,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,4.0,371.0,cover_20.png
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,Dan Brown,3.94,2519365,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg,4.0,489.0,cover_21.png
"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,4.45,2729141,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg,5.0,835.0,cover_22.png
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,William Golding,3.70,3193093,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,3.0,182.0,cover_23.png
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,J.D. Salinger,3.80,3885619,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,4.0,277.0,cover_24.png
The Fault in Our Stars,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,4.12,5710903,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085._SX50_.jpg,4.0,313.0,cover_25.png
"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent,Veronica Roth,4.13,4372067,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg,0.0,487.0,cover_26.png
"The Girl With the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,Stieg Larsson,4.18,3441353,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,5.0,480.0,cover_27.png
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,Rick Riordan,4.31,3427418,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,0.0,377.0,cover_28.png
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,3.67,7297299,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865._SY75_.jpg,0.0,498.0,cover_29.png
The Book Thief,https://www.goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,4.39,2871799,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,4.0,592.0,cover_30.png
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Ray Bradbury,3.97,2826739,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,4.0,194.0,cover_31.png
Jane Eyre,https://www.goodreads.com/book/show/10210.Jane_Eyre,Charlotte Brontë,4.16,2318011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,0.0,532.0,cover_32.png
Romeo and Juliet,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,William Shakespeare,3.74,2817938,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg,0.0,281.0,cover_33.png
Of Mice and Men,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,John Steinbeck,3.90,2828312,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,4.0,107.0,cover_34.png
"Little Women (Little Women, #1)",https://www.goodreads.com/book/show/1934.Little_Women,Louisa May Alcott,4.17,2454258,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg,0.0,449.0,cover_35.png
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.22,2012028,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162._SX50_SY75_.jpg,4.0,193.0,cover_36.png
The Help,https://www.goodreads.com/book/show/4667024-the-help,Kathryn Stockett,4.47,3015302,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,0.0,451.0,cover_37.png
Memoirs of a Geisha,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha,Arthur Golden,4.16,2107903,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666i/930._SY75_.jpg,0.0,434.0,cover_38.png
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com/book/show/960.Angels_Demons,Dan Brown,3.95,3392899,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696691404i/960._SY75_.jpg,4.0,736.0,cover_39.png
The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist,Paulo Coelho,3.92,3556977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590._SY75_.jpg,4.0,182.0,cover_40.png
The Little Prince,https://www.goodreads.com/book/show/157993.The_Little_Prince,Antoine de Saint-Exupéry,4.33,2468720,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,5.0,96.0,cover_41.png
"The Giver (The Giver, #1)",https://www.goodreads.com/book/show/3636.The_Giver,Lois Lowry,4.12,2801292,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,4.0,208.0,cover_42.png
Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World,Aldous Huxley,3.99,2071943,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg,4.0,288.0,cover_43.png
Gone Girl,https://www.goodreads.com/book/show/21480930-gone-girl,Gillian Flynn,4.15,3438922,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553964259i/21480930._SY75_.jpg,4.0,560.0,cover_44.png
Charlotte’s Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,E.B. White,4.21,2042340,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178._SY75_.jpg,0.0,184.0,cover_45.png
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,4.00,1856379,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684._SX50_.jpg,4.0,537.0,cover_46.png
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones,Alice Sebold,3.86,2460323,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg,0.0,372.0,cover_47.png
"Ender’s Game (Ender's Saga, #1)",https://www.goodreads.com/book/show/375802.Ender_s_Game,Orson Scott Card,4.31,1471810,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,0.0,324.0,cover_48.png
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones,Cassandra Clare,4.07,2164960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg,0.0,485.0,cover_49.png
"The Golden Compass (His Dark Materials, #1)",https://www.goodreads.com/book/show/119322.The_Golden_Compass,Philip Pullman,4.03,1615813,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322._SX50_.jpg,5.0,399.0,cover_50.png
Eragon (The Inheritance Cycle #1),https://www.goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.96,1937250,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436._SX50_.jpg,0.0,503.0,cover_51.png
Wuthering Heights,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Emily Brontë,3.90,2039825,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,0.0,464.0,cover_52.png
Life of Pi,https://www.goodreads.com/book/show/4214.Life_of_Pi,Yann Martel,3.94,1751335,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214._SY75_.jpg,0.0,460.0,cover_53.png
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,3.83,1335817,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,4.0,327.0,cover_54.png
The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,Stephen Chbosky,4.24,1996304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628._SX50_.jpg,5.0,213.0,cover_55.png
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Stephenie Meyer,3.76,1869508,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039438i/1162543._SY75_.jpg,0.0,756.0,cover_56.png
"Eclipse (The Twilight Saga, #3)",https://www.goodreads.com/book/show/428263.Eclipse,Stephenie Meyer,3.74,1989463,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038355i/428263._SY75_.jpg,0.0,629.0,cover_57.png
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon,Stephenie Meyer,3.62,2123814,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630592760i/49041._SX50_.jpg,0.0,563.0,cover_58.png
The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,Paula Hawkins,3.96,3281330,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1748242265i/22557272._SY75_.jpg,0.0,336.0,cover_59.png
Where the Crawdads Sing,https://www.goodreads.com/book/show/42421761-where-the-crawdads-sing,Delia Owens,4.37,3612626,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628280044i/42421761._SY75_.jpg,4.0,370.0,cover_60.png
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,Agatha Christie,4.27,1609195,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299._SY75_.jpg,4.0,264.0,cover_61.png
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,3.89,1594330,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618._SY75_.jpg,4.0,226.0,cover_62.png
"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,4.15,2413784,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,4.0,311.0,cover_63.png
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,3.91,1879478,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg,0.0,260.0,cover_64.png
A Thousand Splendid Suns,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,4.45,1730309,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,0.0,372.0,cover_65.png
Water for Elephants,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Sara Gruen,4.11,1698956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641._SY75_.jpg,0.0,368.0,cover_66.png
Dracula,https://www.goodreads.com/book/show/17245.Dracula,Bram Stoker,4.02,1472158,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg,0.0,488.0,cover_67.png
"The Notebook (The Notebook, #1)",https://www.goodreads.com/book/show/33648131-the-notebook,Nicholas Sparks,4.16,1839021,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131._SY75_.jpg,0.0,227.0,cover_68.png
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,4.10,1480585,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg,4.0,275.0,cover_69.png
"Fifty Shades of Grey (Fifty Shades, #1)",https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,E.L. James,3.67,2859850,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853._SX50_.jpg,0.0,356.0,cover_70.png
Where the Sidewalk Ends: Poems and Drawings,https://www.goodreads.com/book/show/20076302-where-the-sidewalk-ends,Shel Silverstein,4.35,1507434,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442291723i/20076302._SX50_.jpg,0.0,176.0,cover_71.png
The Seven Husbands of Evelyn Hugo,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,Taylor Jenkins Reid,4.39,4070523,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332._SY75_.jpg,0.0,389.0,cover_72.png
"The Shining (The Shining, #1)",https://www.goodreads.com/book/show/11588.The_Shining,Stephen King,4.28,1702448,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588._SY75_.jpg,0.0,497.0,cover_73.png
Night,https://www.goodreads.com/book/show/1617.Night,Elie Wiesel,4.38,1361225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1709507006i/1617._SY75_.jpg,0.0,120.0,cover_74.png
"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,4.29,1622400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg,0.0,658.0,cover_75.png
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,4.13,1870698,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,5.0,272.0,cover_76.png
Educated,https://www.goodreads.com/book/show/35133922-educated,Tara Westover,4.47,1852501,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506026635i/35133922._SY75_.jpg,0.0,352.0,cover_77.png
"Eat, Pray, Love",https://www.goodreads.com/book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.64,1841836,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501._SY75_.jpg,0.0,368.0,cover_78.png
All the Light We Cannot See,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,Anthony Doerr,4.31,1968875,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646i/18143977._SY75_.jpg,4.0,531.0,cover_79.png
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,Sarah J. Maas,4.16,4173163,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329i/50659467._SY75_.jpg,0.0,419.0,cover_80.png
Sense and Sensibility,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,Jane Austen,4.09,1293632,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675i/14935._SY75_.jpg,0.0,409.0,cover_81.png
The Martian,https://www.goodreads.com/book/show/18007564-the-martian,Andy Weir,4.42,1283159,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413706054i/18007564._SY75_.jpg,0.0,384.0,cover_82.png
"Me Before You (Me Before You, #1)",https://www.goodreads.com/book/show/17347634-me-before-you,Jojo Moyes,4.26,1797919,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665087720i/17347634._SY75_.jpg,0.0,369.0,cover_83.png
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,Ernest Hemingway,3.81,1308895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,5.0,96.0,cover_84.png
Gone with the Wind,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Margaret Mitchell,4.31,1255768,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,0.0,1037.0,cover_85.png
The Outsiders,https://www.goodreads.com/book/show/231804.The_Outsiders,S.E. Hinton,4.14,1596869,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,0.0,208.0,cover_86.png
"Holes (Holes, #1)",https://www.goodreads.com/book/show/38709.Holes,Louis Sachar,4.01,1360674,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg,0.0,272.0,cover_87.png
The Silent Patient,https://www.goodreads.com/book/show/40097951-the-silent-patient,Alex Michaelides,4.17,3228031,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951._SY75_.jpg,3.0,336.0,cover_88.png
"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/book/show/9969571-ready-player-one,Ernest Cline,4.23,1296840,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571._SY75_.jpg,0.0,480.0,cover_89.png
"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/20957276-the-maze-runner,James Dashner,4.05,1680209,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412070617i/20957276._SY75_.jpg,4.0,373.0,cover_90.png
"Insurgent (Divergent, #2)",https://www.goodreads.com/book/show/11735983-insurgent,Veronica Roth,3.96,1620593,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983._SY75_.jpg,0.0,525.0,cover_91.png
"It Ends with Us (It Ends with Us, #1)",https://www.goodreads.com/book/show/27362503-it-ends-with-us,Colleen Hoover,4.08,4593265,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688011813i/27362503._SY75_.jpg,0.0,386.0,cover_92.png
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,3.97,1283005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg,0.0,218.0,cover_93.png
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Ransom Riggs,3.92,1355870,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623449170i/9460487._SY75_.jpg,0.0,352.0,cover_94.png
The Secret Garden,https://www.goodreads.com/book/show/2998.The_Secret_Garden,Frances Hodgson Burnett,4.17,1293555,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,0.0,331.0,cover_95.png
The Secret Life of Bees,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,Sue Monk Kidd,4.10,1351338,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628532099i/37435._SY75_.jpg,0.0,352.0,cover_96.png
"The Midnight Library (The Midnight World, #1)",https://www.goodreads.com/book/show/52578297-the-midnight-library,Matt Haig,3.98,2442074,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253i/52578297._SY75_.jpg,4.0,288.0,cover_97.png
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,John Green,3.96,1745814,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652042180i/99561._SY75_.jpg,4.0,221.0,cover_98.png
The Odyssey,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.83,1189418,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381._SY75_.jpg,0.0,541.0,cover_99.png
Eleanor & Park,https://www.goodreads.com/book/show/15745753-eleanor-park,Rainbow Rowell,3.92,1257894,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341952742i/15745753._SX50_.jpg,0.0,328.0,cover_100.png
Eleanor Oliphant Is Completely Fine,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,Gail Honeyman,4.23,1419954,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347i/31434883._SY75_.jpg,4.0,336.0,cover_101.png
The Giving Tree,https://www.goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,4.39,1233635,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1725807591i/370493._SX50_.jpg,0.0,64.0,cover_102.png
"Fourth Wing (The Empyrean, #1)",https://www.goodreads.com/book/show/61431922-fourth-wing,Rebecca Yarros,4.57,3490910,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1761312598i/61431922._SY75_.jpg,0.0,517.0,cover_103.png
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger,Albert Camus,4.03,1393915,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738704267i/49552._SY75_.jpg,5.0,123.0,cover_104.png
The Nightingale,https://www.goodreads.com/book/show/21853621-the-nightingale,Kristin Hannah,4.65,2084030,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621._SY75_.jpg,4.0,564.0,cover_105.png
Verity,https://www.goodreads.com/book/show/59344312-verity,Colleen Hoover,4.30,3773273,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634158558i/59344312._SY75_.jpg,0.0,336.0,cover_106.png
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,Madeline Miller,4.30,1973429,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848._SY75_.jpg,3.0,408.0,cover_107.png
"The Housemaid (The Housemaid, #1)",https://www.goodreads.com/book/show/60556912-the-housemaid,Freida McFadden,4.28,3226684,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1646534743i/60556912._SY75_.jpg,0.0,329.0,cover_108.png
My Sister's Keeper,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,Jodi Picoult,4.11,1274423,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917._SY75_.jpg,0.0,423.0,cover_109.png
